Country,Group,Year,In,Out,Net,iso_alpha
Lebanon,Arabs,1996,1284211,1471201,-186990,LBN
Lebanon,Arabs,1997,1352116,1504190,-152074,LBN
Lebanon,Arabs,1998,1477189,1650379,-173190,LBN
Lebanon,Arabs,1999,2238857,2515533,-276676,LBN
Lebanon,Arabs,2000,1907894,2094911,-187017,LBN
Lebanon,Arabs,2001,1965300,2210391,-245091,LBN
Lebanon,Arabs,2002,2321336,2462785,-141449,LBN
Lebanon,Arabs,2003,2413357,2629292,-215935,LBN
Lebanon,Arabs,2004,2652169,2796599,-144430,LBN
Lebanon,Arabs,2005,2286496,2414430,-127934,LBN
Lebanon,Arabs,2006,2467256,2503757,-36501,LBN
Lebanon,Arabs,2007,2421516,2509551,-88035,LBN
Lebanon,Arabs,2008,2560786,2681535,-120749,LBN
Lebanon,Arabs,2009,2897837,3027447,-129610,LBN
Lebanon,Arabs,2010,3320484,3481586,-161102,LBN
Lebanon,Arabs,2011,2497481,2565365,-67884,LBN
Lebanon,Arabs,2012,2244216,2293607,-49391,LBN
Lebanon,Arabs,2013,2316704,2316704,0,LBN
Lebanon,Arabs,2014,2563871,2594404,-30533,LBN
Lebanon,Arabs,2015,2619002,2662109,-43107,LBN
Lebanon,Arabs,2016,2234899,2235256,-357,LBN
Lebanon,Arabs,2017,2994910,3017332,-22422,LBN
Lebanon,Arabs,2018,3484268,3515428,-31160,LBN
Syria,Arabs,1996,1841540,1481784,359756,SYR
Syria,Arabs,1997,1648379,1280126,368253,SYR
Syria,Arabs,1998,2271007,1909923,361084,SYR
Syria,Arabs,1999,3354859,2920980,433879,SYR
Syria,Arabs,2000,2861720,2569566,292154,SYR
Syria,Arabs,2001,2900930,2475472,425458,SYR
Syria,Arabs,2002,2927916,2680919,246997,SYR
Syria,Arabs,2003,3145029,2921778,223251,SYR
Syria,Arabs,2004,3414192,3412377,1815,SYR
Syria,Arabs,2005,2371572,2433125,-61553,SYR
Syria,Arabs,2006,1938827,2014540,-75713,SYR
Syria,Arabs,2007,2028170,1754795,273375,SYR
Syria,Arabs,2008,2507037,2093936,413101,SYR
Syria,Arabs,2009,3371876,2930476,441400,SYR
Syria,Arabs,2010,4031514,3692960,338554,SYR
Syria,Arabs,2011,3890394,3675386,215008,SYR
Syria,Arabs,2012,4116463,3658197,458266,SYR
Syria,Arabs,2013,4459842,4459842,0,SYR
Syria,Arabs,2014,3614539,3526617,87922,SYR
